Country;Species;Division;Fator;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Belgium;European hake;I (not specified);1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Belgium;European hake;ICES Area (not specified);0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;III a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;14;5;11;10;4;-;1;-;<0.5;6;9;5;3;13;15;15;5;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;III d  (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;IV a;1;195;98;52;29;39;22;30;43;25;21;19;37;20;37;33;12;8;4;7;4;2;3;1;3;2;<0.5;3;-;-;-;<0.5;<0.5;1;1;-;1;-;<0.5;<0.5;-;-;-;1;1;1;2;2;-;-;3;7;-;1;-;-;-;-;-;-;.;.
Belgium;European hake;IV b;1;27;38;24;17;3;2;4;3;1;1;2;2;7;11;3;4;1;2;6;5;2;1;1;2;23;211;89;90;51;37;40;27;18;25;17;25;34;25;32;25;78;115;116;69;55;32;9;23;43;48;49;84;66;46;77;67;53;63;60;36;51
Belgium;European hake;IV c;1;4;1;3;3;1;2;1;4;2;1;3;1;1;2;1;3;1;.;1;.;1;1;1;<0.5;4;<0.5;3;<0.5;-;4;1;3;1;-;5;2;1;1;6;5;1;2;1;2;1;1;1;-;1;-;1;1;1;-;-;-;-;-;-;-;-
Belgium;European hake;V a (not specified);1;2;1;1;-;-;-;-;6;1;1;1;1;1;6;.;2;1;1;1;1;1;.;2;2;<0.5;<0.5;1;<0.5;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;V a (South-West);1;-;-;-;1;.;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Belgium;European hake;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;VI a;1;2;-;-;-;-;-;-;-;.;.;1;2;4;2;1;-;1;.;1;.;.;1;1;1;7;1;3;-;-;-;-;-;-;-;-;<0.5;-;5;2;2;-;-;-;1;-;-;-;-;-;-;-;<0.5;-;-;<0.5;-;-;-;-;.;.
Belgium;European hake;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;2;4;19;18;12;15;12;8;20;24;22;19;32;33;35;28;25;17;25;35;45;34;49;69;46;52;17;19;16;6;10;7;5;3;2;4;3;6;6;4;3;2;3;5;2;2;1;1;1
Belgium;European hake;VII a-f  (not specified);2;26;33;4;2;3;3;19;10;10;5;123;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Belgium;European hake;VII d;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;<0.5;1;<0.5;-;2;2;-;1;3;1;<0.5;<0.5;26;1;1;2;3;1;2;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-
Belgium;European hake;VII d+e (not specified);2;41;18;28;11;5;7;2;2;1;4;8;1;6;6;3;7;1;1;10;5;2;2;1;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;6;2;2;1;8;4;6;6;4;5;1;3;3;3;1;-;-;1;-;-;-;-;-;<0.5;<0.5;<0.5;-;-;1;1;1;1;-;-;-
Belgium;European hake;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;86;85;58;66;49;106;105;158;119;73;122;62;201;290;103;38;19;41;129;68;66;61;67;69;34;26;30;35;28;10;12;10;11;9;4;3;5;4;8;5;2;4;6;5;4;4;3;3;5
Belgium;European hake;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;14;9;5;7;8;5;12;7;4;4;7
Belgium;European hake;VII g-k  (not specified);2;112;42;22;16;6;54;70;82;99;70;-;57;47;14;33;51;30;27;29;32;53;48;31;66;78;119;98;62;48;54;81;90;80;47;78;52;32;12;16;29;19;8;11;13;9;10;10;10;9;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;<0.5;-;-;1;-;-;-;.;-
Belgium;European hake;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;<0.5;<0.5;-;<0.5;-;-;-;-;.;.
Belgium;European hake;VIII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5;2;-;3;3;2;-;-;<0.5;2;3;2;15;8;12;13;7;18;17;13;15;14;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;European hake;VIII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;2;1;-;1;-;2;1;-;1;-
Belgium;European hake;VIII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;26;18;13;12;10;9;8;2;3;6;5
