SPECIES;Stock_name;RI_Stock;Lat;Long
European hake;HAKESOTH;0.573721405;40.71666667;-10
European hake;HAKENRTN;0.585447175;53.15251989;-10
Atlantic cod;CODIS;0.461997933;53.5462963;-5
Atlantic cod;CODBA2532;0.623589936;57.51190476;12
Atlantic cod;CODIIIaW;0.526025737;56.94742489;3
Atlantic cod;CODVIa;0.44160773;57.37650602;-8
Atlantic cod;CODFAPL;0.56711432;61.59745763;-10
Atlantic cod;CODICE;0.741072487;65.11982249;-20
Atlantic cod;CODNEARNCW;0.49713794;70.38378566;-2
Atlantic cod;CODNEAR;0.598425373;70.38378566;6
Atlantic cod;CODKAT;0.530997909;;