Species;Stock_name;Area_27
Cod;CODNEAR;2.a.1
Cod;CODNEAR;2.a.2
Cod;CODICE;5.a.1
Cod;CODICE;5.a.2
Cod;CODFAPL;5.b.1.b
Cod;CODFAPL;5.b.2
Cod;CODFAPL;5.b.1.a
Cod;CODBA2532;3.a.20
Cod;CODBA2532;3.d.32
Cod;CODIIIaW;4.a
Cod;CODIIIaW;4.b
Cod;CODIIIaW;4.c
Cod;CODIIIaW;3.a
Cod;CODIIIaW;7.d
Cod;CODVIa;6.a
Cod;CODIS;7.a
Hake;HAKESOTH;8.c
Hake;HAKESOTH;9.a
Hake;HAKENRTN;5.b.1.b
Hake;HAKENRTN; 5.b.2
Hake;HAKENRTN; 5.b.1.a
Hake;HAKENRTN; 6.b.1
Hake;HAKENRTN; 6.b.2
Hake;HAKENRTN; 7.c.1
Hake;HAKENRTN; 7.c.2
Hake;HAKENRTN; 7.b
Hake;HAKENRTN; 7.k.1
Hake;HAKENRTN; 7.k.2
Hake;HAKENRTN; 7.j.2
Hake;HAKENRTN; 7.g
Hake;HAKENRTN; 7.h
Hake;HAKENRTN; 7.f
Hake;HAKENRTN; 7.e
Hake;HAKENRTN; 8.a
Hake;HAKENRTN; 8.b
Hake;HAKENRTN; 7.d
Hake;HAKENRTN; 4.a
Hake;HAKENRTN; 4.b
Hake;HAKENRTN; 4.c