SPECIES;STOCK;area2006;area2100;Trange;T50;OverMSY;Status;Recovery;B_SSBrecent;B_SSBhistoric;B_Ftrend;B_Rtrend;SSB.average;F.average;R.average
European hake;HAKENRTN;5918472;6210615;5;18;1.63;3;15;-5457;-5495;0.0019;-2505;154496.5517;0.282821429;198821.4286
European hake;HAKESOTH;5918472;6210615;5;18;0.35;0;21;-1207.3;-1207;0.008494;-2055.5;19008.03846;0.514846154;60174.88462
Atlantic cod;CODCOASTNOR;7014930;7868484;6;6;NA;NA;NA;-3956;-3956;-0.004645;-2518.8;117668.8261;0.38626087;34368.82609
Atlantic cod;CODNEAR;7014930;7868484;6;6;NA;3;NA;15249;-1086;0.016488;-4731;393224.7869;0.647842623;599326.082
Atlantic cod;CODFAPL;7014930;7868484;6;6;NA;2;2;-1396.8;-797.3;0;-156.6;61655.06522;0.510606522;16189.08696
Atlantic cod;CODICE;7014930;7868484;6;6;NA;NA;NA;-1765;NA;0.01;-1675;387884.6154;0.610961538;178673.0769
Atlantic cod;CODBA2532;7014930;7868484;6;6;0.362;0;21;-984.1;-728.1;-0.08558;-4386.3;272582.439;0.942943902;284458.1905
Atlantic cod;CODKAT;7014930;7868484;6;6;0.572;2;3;-498.24;-954.6;0.042;-646;15694.47222;0.982825;13069.08333
Atlantic cod;CODIS;7014930;7868484;6;6;2.98;0;22;-568;-363.74;0.46;-209.59;10048.10256;1.064494872;6070.205128
Atlantic cod;CODVIa;7014930;7868484;6;6;5.01;0;NA;NA;NA;0.002796;NA;17766.99655;0.852565517;13783.75172
Atlantic cod;CODNS;7014930;7868484;6;6;3.56;0.66;22;-4901.9;-4915.8;0.01;-11746;128653.2;0.897840909;595658.3864