"ABUNDANCE","TEMPERATURE","OVEREXPLOITATION","RECOVERY","STRENGTH","QUOTAS","PROPERTY.RIGHTS","CO.MANAGEMENT","ADAPTIVE.MNG","CATCH.DEP","FLEET.MOBILITY","Resilience_Index"
0.448797137,0.545454545,0.435622318,0.504015116,0.6,0.957671260316446,0.686507936507937,0,0.0343877883349145,0.970037453183521,0.21603331598126,0.483472279
0.673005436,0.545454545,0.649928469,0.818926153,0.6,0.976230955466632,0.686507936507937,0,0.0343877883349145,0.99625468164794,0.21603331598126,0.561044799206096
0.633426714,0.545454545,0.974892704,0.740198394,0.8,0.738839032168979,0,0.333333333333333,0.106423183639233,0.763628797336663,0.435733703510903,0.555114639374924
0.829907541,0.545454545,0.997424893,0.527633444,0.8,0.97606693810263,0,0.333333333333333,0.106423183639233,0.998751560549313,0.435733703510903,0.67182865075
0.744861312,0.545454545,NA,NA,0.8,0,0.80952380952381,0.0256410256410256,0.223153583396678,0.958801498127341,0.79281045751634,0.468043091375578
1,0.545454545,0.997424893,0.527633444,0.8,0.966755115924132,0.80952380952381,0.0256410256410256,0.223153583396678,0.995006242197253,0.79281045751634,0.5764464211217
0.479652025,0.545454545,0.424785408,0.653597859,0.3,0.936396958451379,0.658730158730159,0.153846153846154,0.0288182275768422,0.947565543071161,0.311487072705188,0.72349308925
0.646173254,0.545454545,0.217811159,0.504015116,0.3,1,1,1,0.523558768831605,0.871410736579276,0.270640291514836,0.408791208791209
1,0.545454545,0.997424893,0.527633444,0.3,0.844005861041071,1,1,0.523558768831605,0.915730337078652,0.270640291514836,0.74369138476009
1,0.545454545,0.997424893,0.527633444,0.5,0.861126017792645,0.46031746031746,0.512820512820513,0.0225176757849303,0.921348314606742,NA,0.72510510575
0.043984232,0.545454545,0.952360515,0.952763344,0.5,0.930127698825078,0.46031746031746,0.512820512820513,0.228883665850928,0.976529338327091,1,0.512243317756923
0.829907541,0.545454545,0.997424893,0.527633444,0,0.917044951507031,0.714285714285714,0.102564102564103,0.228883665850928,0.83832709113608,1,0.571967710838298
0.511235619,0.545454545,0.952360515,0.952763344,0.4,0.874259971488364,0.666666666666667,0.0512820512820513,0.0652287876682911,0.989180191427382,NA,0.6451579285
0.521992116,0.545454545,0.974892704,0.740198394,0.5,0.824104803752669,0.662698412698413,0.0769230769230769,0.00934917416616275,0.464419475655431,0.154901960784314,0.825
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.911858450300631,0.742063492063492,0.282051282051282,0.0387263785859027,0.714107365792759,0.357192434495922,0.666402449231429
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.976375299567467,0.742063492063492,0.282051282051282,0.168747259688577,1,0.128561513100816,0.7676282205
0.459199074,0.454545455,0.725321888,0.66934341,0.7,0.664082197194482,0.686507936507937,0.256410256410256,0.168747259688577,NA,0.128561513100816,0.787867031927082
0.229599537,0.454545455,0.862660944,0.598488427,1,0.984470467628186,0.738095238095238,0.358974358974359,0.506393282451395,0.400749063670412,0.141234310833478,0.647955330130557
0.229599537,0.454545455,0.862660944,0.598488427,1,0.97918102371274,0.738095238095238,0.358974358974359,0.108139580651305,0.838951310861423,0.224119382266181,0.52587245925
0.459199074,0.454545455,0.725321888,0.66934341,1,0.479160966451325,0.654761904761905,0.128205128205128,0.108139580651305,0.939450686641698,0.224119382266181,0.583565997732654
0.229599537,0.454545455,0.862660944,0.598488427,1,0.976052697966764,0.654761904761905,0.128205128205128,0.566831477726793,0.721598002496879,NA,0.801353251044505
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.900902683082833,0.662698412698413,NA,0.566831477726793,0.99625468164794,NA,0.4783635185
0.448797137,0.545454545,0.435622318,0.504015116,0.6,0.957671260316446,0.686507936507937,0,0.0343877883349145,0.970037453183521,0.21603331598126,0.433473692089212
0.673005436,0.545454545,0.649928469,0.818926153,0.6,0.976230955466632,0.686507936507937,0,0.0343877883349145,0.99625468164794,0.21603331598126,0.684802993031891
0.633426714,0.545454545,0.974892704,0.740198394,0.8,0.738839032168979,0,0.333333333333333,0.106423183639233,0.763628797336663,0.435733703510903,0.7676282205
0.829907541,0.545454545,0.997424893,0.527633444,0.8,0.97606693810263,0,0.333333333333333,0.106423183639233,0.998751560549313,0.435733703510903,0.498052172359271
0.744861312,0.545454545,NA,NA,0.8,0,0.80952380952381,0.0256410256410256,0.223153583396678,0.958801498127341,0.79281045751634,0.407167652651477
1,0.545454545,0.997424893,0.527633444,0.8,0.966755115924132,0.80952380952381,0.0256410256410256,0.223153583396678,0.995006242197253,0.79281045751634,0.7676282205
0.479652025,0.545454545,0.424785408,0.653597859,0.3,0.936396958451379,0.658730158730159,0.153846153846154,0.0288182275768422,0.947565543071161,0.311487072705188,0.51593157334354
0.646173254,0.545454545,0.217811159,0.504015116,0.3,1,1,1,0.523558768831605,0.871410736579276,0.270640291514836,0.527506544718646
1,0.545454545,0.997424893,0.527633444,0.3,0.844005861041071,1,1,0.523558768831605,0.915730337078652,0.270640291514836,0.623640659
1,0.545454545,0.997424893,0.527633444,0.5,0.861126017792645,0.46031746031746,0.512820512820513,0.0225176757849303,0.921348314606742,NA,0.683993306103851
0.043984232,0.545454545,0.952360515,0.952763344,0.5,0.930127698825078,0.46031746031746,0.512820512820513,0.228883665850928,0.976529338327091,1,0.574327193197348
0.829907541,0.545454545,0.997424893,0.527633444,0,0.917044951507031,0.714285714285714,0.102564102564103,0.228883665850928,0.83832709113608,1,0.72510510575
0.511235619,0.545454545,0.952360515,0.952763344,0.4,0.874259971488364,0.666666666666667,0.0512820512820513,0.0652287876682911,0.989180191427382,NA,0.576750097528169
0.521992116,0.545454545,0.974892704,0.740198394,0.5,0.824104803752669,0.662698412698413,0.0769230769230769,0.00934917416616275,0.464419475655431,0.154901960784314,0.512094164238821
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.911858450300631,0.742063492063492,0.282051282051282,0.0387263785859027,0.714107365792759,0.357192434495922,0.74045350575
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.976375299567467,0.742063492063492,0.282051282051282,0.168747259688577,1,0.128561513100816,0.770385016174446
0.459199074,0.454545455,0.725321888,0.66934341,0.7,0.664082197194482,0.686507936507937,0.256410256410256,0.168747259688577,NA,0.128561513100816,0.542802568444727
0.229599537,0.454545455,0.862660944,0.598488427,1,0.984470467628186,0.738095238095238,0.358974358974359,0.506393282451395,0.400749063670412,0.141234310833478,0.69563443975
0.229599537,0.454545455,0.862660944,0.598488427,1,0.97918102371274,0.738095238095238,0.358974358974359,0.108139580651305,0.838951310861423,0.224119382266181,0.56553199985459
0.459199074,0.454545455,0.725321888,0.66934341,1,0.479160966451325,0.654761904761905,0.128205128205128,0.108139580651305,0.939450686641698,0.224119382266181,0.762809826741224
0.229599537,0.454545455,0.862660944,0.598488427,1,0.976052697966764,0.654761904761905,0.128205128205128,0.566831477726793,0.721598002496879,NA,0.57710245675
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.900902683082833,0.662698412698413,NA,0.566831477726793,0.99625468164794,NA,0.565684722993642
0.448797137,0.545454545,0.435622318,0.504015116,0.6,0.957671260316446,0.686507936507937,0,0.0343877883349145,0.970037453183521,0.21603331598126,0.311668946491029
0.673005436,0.545454545,0.649928469,0.818926153,0.6,0.976230955466632,0.686507936507937,0,0.0343877883349145,0.99625468164794,0.21603331598126,0.57710245675
0.633426714,0.545454545,0.974892704,0.740198394,0.8,0.738839032168979,0,0.333333333333333,0.106423183639233,0.763628797336663,0.435733703510903,0.527350067858991
0.829907541,0.545454545,0.997424893,0.527633444,0.8,0.97606693810263,0,0.333333333333333,0.106423183639233,0.998751560549313,0.435733703510903,0.385227111924862
0.744861312,0.545454545,NA,NA,0.8,0,0.80952380952381,0.0256410256410256,0.223153583396678,0.958801498127341,0.79281045751634,0.57710245675
1,0.545454545,0.997424893,0.527633444,0.8,0.966755115924132,0.80952380952381,0.0256410256410256,0.223153583396678,0.995006242197253,0.79281045751634,0.650479987772242
0.479652025,0.545454545,0.424785408,0.653597859,0.3,0.936396958451379,0.658730158730159,0.153846153846154,0.0288182275768422,0.947565543071161,0.311487072705188,0.502742570777568
0.646173254,0.545454545,0.217811159,0.504015116,0.3,1,1,1,0.523558768831605,0.871410736579276,0.270640291514836,0.53632359075
1,0.545454545,0.997424893,0.527633444,0.3,0.844005861041071,1,1,0.523558768831605,0.915730337078652,0.270640291514836,0.786001465260268
1,0.545454545,0.997424893,0.527633444,0.5,0.861126017792645,0.46031746031746,0.512820512820513,0.0225176757849303,0.921348314606742,NA,0.427482349356273
0.043984232,0.545454545,0.952360515,0.952763344,0.5,0.930127698825078,0.46031746031746,0.512820512820513,0.228883665850928,0.976529338327091,1,0.53632359075
0.829907541,0.545454545,0.997424893,0.527633444,0,0.917044951507031,0.714285714285714,0.102564102564103,0.228883665850928,0.83832709113608,1,0.600816417990763
0.511235619,0.545454545,0.952360515,0.952763344,0.4,0.874259971488364,0.666666666666667,0.0512820512820513,0.0652287876682911,0.989180191427382,NA,0.516802689246752
0.521992116,0.545454545,0.974892704,0.740198394,0.5,0.824104803752669,0.662698412698413,0.0769230769230769,0.00934917416616275,0.464419475655431,0.154901960784314,0.57710245675
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.911858450300631,0.742063492063492,0.282051282051282,0.0387263785859027,0.714107365792759,0.357192434495922,0.70012251842056
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.976375299567467,0.742063492063492,0.282051282051282,0.168747259688577,1,0.128561513100816,0.0991029242631308
0.459199074,0.454545455,0.725321888,0.66934341,0.7,0.664082197194482,0.686507936507937,0.256410256410256,0.168747259688577,NA,0.128561513100816,0.53632359075
0.229599537,0.454545455,0.862660944,0.598488427,1,0.984470467628186,0.738095238095238,0.358974358974359,0.506393282451395,0.400749063670412,0.141234310833478,0.769062655195584
0.229599537,0.454545455,0.862660944,0.598488427,1,0.97918102371274,0.738095238095238,0.358974358974359,0.108139580651305,0.838951310861423,0.224119382266181,0.317927412389796
0.459199074,0.454545455,0.725321888,0.66934341,1,0.479160966451325,0.654761904761905,0.128205128205128,0.108139580651305,0.939450686641698,0.224119382266181,0.57710245675
0.229599537,0.454545455,0.862660944,0.598488427,1,0.976052697966764,0.654761904761905,0.128205128205128,0.566831477726793,0.721598002496879,NA,0.689754932733449
0.459199074,0.454545455,0.725321888,0.66934341,0.8,0.900902683082833,0.662698412698413,NA,0.566831477726793,0.99625468164794,NA,0.521028719791578
